"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2025","46.68","48.42","49.28","45.83","31.48M","-7.25%"
"03/10/2025","50.33","51.63","51.63","48.40","20.26M","-5.54%"
"03/07/2025","53.28","54.01","54.34","51.13","15.67M","-3.06%"
"03/06/2025","54.96","55.74","56.94","54.55","10.67M","-3.19%"
"03/05/2025","56.77","55.06","57.10","54.59","8.74M","3.80%"
"03/04/2025","54.69","56.66","56.88","53.83","17.87M","-6.43%"
"03/03/2025","58.45","60.11","60.63","57.63","7.97M","-2.78%"
"02/28/2025","60.12","59.80","60.59","59.05","8.63M","0.62%"
"02/27/2025","59.75","61.86","62.11","59.42","7.33M","-3.16%"
"02/26/2025","61.70","62.20","63.44","61.63","5.47M","-0.15%"
"02/25/2025","61.79","61.55","62.22","59.82","9.71M","0.49%"
"02/24/2025","61.49","61.33","62.29","60.24","11.23M","2.48%"
"02/21/2025","60.00","63.95","64.31","59.62","12.80M","-5.88%"
"02/20/2025","63.75","65.10","65.49","62.51","8.67M","-1.98%"
"02/19/2025","65.04","63.95","65.90","63.82","7.61M","1.09%"
"02/18/2025","64.34","64.78","66.13","64.02","6.88M","-1.61%"
"02/14/2025","65.39","64.35","65.53","63.90","6.05M","2.08%"
"02/13/2025","64.06","66.48","66.82","61.21","12.61M","-3.42%"
"02/12/2025","66.33","64.94","66.42","64.61","7.64M","2.44%"
"02/11/2025","64.75","65.66","65.90","64.08","7.90M","-2.18%"
"02/10/2025","66.19","67.85","67.90","65.84","6.83M","-2.86%"
"02/07/2025","68.14","68.19","68.75","67.47","5.31M","0.32%"
"02/06/2025","67.92","69.15","69.36","67.26","6.00M","-1.65%"
"02/05/2025","69.06","68.70","69.45","68.02","5.47M","0.00%"
"02/04/2025","69.06","67.30","69.12","66.54","7.79M","3.88%"
"02/03/2025","66.48","65.14","67.05","64.97","5.71M","-1.17%"
"01/31/2025","67.27","68.81","69.22","67.20","4.49M","-1.90%"
"01/30/2025","68.57","68.00","69.10","67.80","6.38M","0.20%"
"01/29/2025","68.43","68.31","68.53","67.58","4.84M","1.15%"
"01/28/2025","67.65","67.63","67.72","66.27","5.18M","-0.18%"
"01/27/2025","67.77","66.33","68.28","66.05","4.16M","0.88%"
"01/24/2025","67.18","67.38","67.95","66.69","5.19M","-0.40%"
"01/23/2025","67.45","68.19","68.66","67.18","8.12M","-0.49%"
"01/22/2025","67.78","69.77","69.98","67.20","11.61M","-0.82%"
"01/21/2025","68.34","66.76","68.51","66.76","11.88M","3.83%"
"01/17/2025","65.82","66.70","67.00","65.64","5.98M","-0.54%"
"01/16/2025","66.18","65.44","66.43","64.84","6.43M","1.04%"
"01/15/2025","65.50","67.13","67.28","65.11","8.81M","-1.19%"
