"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2025","25.99","26.57","26.62","25.87","44.84M","-2.44%"
"03/10/2025","26.64","26.64","27.24","26.54","53.01M","-0.34%"
"03/07/2025","26.73","26.40","26.89","26.18","54.34M","1.87%"
"03/06/2025","26.24","25.93","26.46","25.90","47.00M","1.16%"
"03/05/2025","25.94","25.70","26.18","25.66","37.06M","0.74%"
"03/04/2025","25.75","26.25","26.31","25.67","51.32M","-1.90%"
"03/03/2025","26.25","26.37","26.90","25.97","54.05M","-0.68%"
"02/28/2025","26.43","26.06","26.49","25.91","51.53M","1.26%"
"02/27/2025","26.10","26.28","26.50","26.01","28.27M","-1.21%"
"02/26/2025","26.42","26.68","26.78","26.35","30.10M","-1.20%"
"02/25/2025","26.74","26.72","27.03","26.54","43.56M","0.34%"
"02/24/2025","26.65","26.40","26.74","25.88","43.82M","1.33%"
"02/21/2025","26.30","25.89","26.57","25.84","54.61M","1.54%"
"02/20/2025","25.90","25.86","26.08","25.75","37.14M","0.04%"
"02/19/2025","25.89","25.57","25.92","25.50","37.29M","1.29%"
"02/18/2025","25.56","25.60","25.74","25.42","40.50M","0.12%"
"02/14/2025","25.53","25.73","25.83","25.47","33.21M","-0.43%"
"02/13/2025","25.64","25.49","25.74","25.33","30.61M","0.67%"
"02/12/2025","25.47","25.48","25.61","25.17","31.67M","-0.24%"
"02/11/2025","25.53","25.83","25.91","25.46","36.59M","-1.31%"
"02/10/2025","25.87","25.78","26.12","25.51","39.63M","0.51%"
"02/07/2025","25.74","25.86","25.96","25.53","36.51M","-0.35%"
"02/06/2025","25.83","26.42","26.47","25.78","45.18M","-2.31%"
"02/05/2025","26.44","25.95","26.69","25.70","50.43M","2.20%"
"02/04/2025","25.87","26.10","26.92","25.60","68.75M","-1.26%"
"02/03/2025","26.20","26.30","26.47","26.15","49.63M","-1.21%"
"01/31/2025","26.52","26.96","27.01","26.42","37.34M","-1.45%"
"01/30/2025","26.91","26.66","27.01","26.58","32.29M","1.09%"
"01/29/2025","26.62","26.80","27.07","26.57","34.42M","-0.49%"
"01/28/2025","26.75","26.78","26.86","26.49","40.59M","-0.41%"
"01/27/2025","26.86","26.24","26.97","26.18","50.65M","2.95%"
"01/24/2025","26.09","26.02","26.20","25.96","31.30M","-1.32%"
"01/23/2025","26.44","26.01","26.48","25.85","40.99M","1.65%"
"01/22/2025","26.01","26.51","26.60","25.97","41.89M","-2.36%"
"01/21/2025","26.64","26.45","26.64","26.39","39.75M","1.29%"
"01/17/2025","26.30","26.40","26.56","26.22","35.38M","-0.72%"
"01/16/2025","26.49","26.07","26.57","25.96","29.98M","1.03%"
"01/15/2025","26.22","26.51","26.65","26.21","35.95M","-0.72%"
"01/14/2025","26.41","26.81","26.87","26.27","25.86M","-1.46%"
"01/13/2025","26.80","26.65","26.81","26.36","28.36M","0.30%"
"01/10/2025","26.72","26.87","27.05","26.69","32.84M","-0.52%"
"01/08/2025","26.86","27.05","27.14","26.23","35.43M","-1.00%"
"01/07/2025","27.13","27.01","27.57","26.94","35.03M","0.89%"
"01/06/2025","26.89","26.71","27.25","26.56","43.95M","1.13%"
"01/03/2025","26.59","26.70","26.84","26.52","33.42M","-0.08%"
"01/02/2025","26.61","26.75","26.86","26.56","32.90M","0.30%"
"12/31/2024","26.53","26.40","26.65","26.36","27.09M","0.42%"
"12/30/2024","26.42","26.48","26.58","26.24","32.86M","-0.75%"
"12/27/2024","26.62","26.43","26.85","26.42","35.22M","0.23%"
"12/26/2024","26.56","26.64","26.72","26.48","31.51M","-0.67%"
"12/24/2024","26.74","26.59","26.77","26.38","19.72M","0.11%"
"12/23/2024","26.71","26.36","26.75","26.19","35.35M","1.33%"
"12/20/2024","26.36","25.70","26.49","25.70","116.34M","2.29%"
"12/19/2024","25.77","25.70","26.09","25.58","50.32M","-0.46%"
"12/18/2024","25.89","26.19","26.52","25.86","47.58M","-2.04%"
"12/17/2024","26.43","25.90","26.46","25.86","71.44M","4.67%"
"12/16/2024","25.25","25.59","25.75","25.22","40.19M","-1.29%"
"12/13/2024","25.58","25.34","25.66","25.26","29.04M","0.83%"
"12/12/2024","25.37","25.18","25.48","25.06","38.71M","0.55%"
"12/11/2024","25.23","25.38","25.51","25.17","39.57M","-1.33%"
"12/10/2024","25.57","26.10","26.11","25.51","43.28M","-2.03%"
"12/09/2024","26.10","25.76","26.44","25.58","37.46M","1.44%"
"12/06/2024","25.73","25.74","26.10","25.59","31.83M","0.12%"
"12/05/2024","25.70","25.23","25.79","25.14","43.65M","1.86%"
"12/04/2024","25.23","25.45","25.50","25.18","42.54M","-1.29%"
"12/03/2024","25.56","25.83","25.90","25.52","49.06M","-1.01%"
"12/02/2024","25.82","26.07","26.22","25.73","43.87M","-1.49%"
"11/29/2024","26.21","25.83","26.23","25.77","22.02M","1.47%"
"11/27/2024","25.83","25.76","25.95","25.70","28.24M","0.23%"
"11/26/2024","25.77","26.16","26.24","25.61","33.00M","-1.53%"
"11/25/2024","26.17","25.75","26.45","25.74","57.71M","2.03%"
"11/22/2024","25.65","25.18","25.75","25.10","41.90M","2.07%"
"11/21/2024","25.13","24.87","25.22","24.77","45.05M","0.76%"
"11/20/2024","24.94","25.07","25.10","24.65","46.17M","-0.64%"
"11/19/2024","25.10","24.70","25.11","24.61","52.38M","0.97%"
"11/18/2024","24.86","24.97","25.25","24.70","64.26M","0.24%"
"11/15/2024","24.80","25.70","25.70","24.48","131.07M","-4.69%"
"11/14/2024","26.02","26.74","26.85","25.84","45.26M","-2.62%"
"11/13/2024","26.72","26.23","26.75","25.98","47.98M","2.02%"
"11/12/2024","26.19","26.23","26.44","25.95","53.04M","-0.19%"
"11/11/2024","26.24","26.72","26.83","26.22","54.33M","-1.80%"
"11/08/2024","26.72","27.11","27.15","26.71","55.95M","-2.69%"
"11/07/2024","27.46","27.53","27.59","27.34","48.48M","0.37%"
"11/06/2024","27.36","27.93","27.99","27.08","65.75M","-2.25%"
"11/05/2024","27.99","27.74","28.00","27.58","44.18M","0.83%"
"11/04/2024","27.76","28.10","28.14","27.73","41.35M","-1.17%"
"11/01/2024","28.09","28.48","28.54","28.05","46.89M","-0.74%"
"10/31/2024","28.30","28.45","28.64","28.29","37.91M","-0.77%"
"10/30/2024","28.52","28.31","28.60","28.19","47.10M","0.21%"
"10/29/2024","28.46","29.01","29.17","28.02","102.27M","-1.39%"
"10/28/2024","28.86","28.60","28.94","28.56","37.92M","1.44%"
"10/25/2024","28.45","28.68","28.73","28.44","26.09M","-0.66%"
"10/24/2024","28.64","28.86","28.98","28.50","31.47M","-0.76%"
"10/23/2024","28.86","28.87","29.11","28.67","22.22M","0.07%"
"10/22/2024","28.84","28.90","28.99","28.60","29.04M","-0.31%"
"10/21/2024","28.93","29.22","29.22","28.88","23.40M","-0.99%"
"10/18/2024","29.22","29.30","29.36","29.08","24.24M","-0.17%"
"10/17/2024","29.27","29.48","29.53","29.22","23.78M","-1.35%"
"10/16/2024","29.67","29.50","29.82","29.43","28.41M","0.78%"
"10/15/2024","29.44","29.09","29.74","29.07","29.01M","1.24%"
"10/14/2024","29.08","29.16","29.17","28.85","23.59M","-0.27%"
"10/11/2024","29.16","29.36","29.44","28.95","29.62M","-0.61%"
"10/10/2024","29.34","29.89","30.08","29.28","34.35M","-2.82%"
"10/09/2024","30.19","29.22","30.43","29.10","44.24M","3.46%"
"10/08/2024","29.18","29.21","29.49","29.00","29.13M","-0.07%"
"10/07/2024","29.20","29.37","29.84","29.11","51.43M","2.17%"
"10/04/2024","28.58","28.29","28.59","28.24","28.79M","0.85%"
"10/03/2024","28.34","28.50","28.52","28.26","25.68M","-0.94%"
"10/02/2024","28.61","28.60","28.77","28.38","24.96M","-0.21%"
"10/01/2024","28.67","29.05","29.08","28.53","30.73M","-0.93%"
"09/30/2024","28.94","29.11","29.19","28.78","27.48M","-0.52%"
"09/27/2024","29.09","29.02","29.23","28.92","25.01M","0.41%"
"09/26/2024","28.97","28.48","29.01","28.31","32.31M","0.14%"
"09/25/2024","28.93","29.60","29.71","28.91","30.71M","-1.93%"
"09/24/2024","29.50","29.25","29.59","29.15","21.45M","0.65%"
"09/23/2024","29.31","29.43","29.47","29.18","23.13M","-0.37%"
"09/20/2024","29.42","29.54","29.55","29.23","56.88M","-0.81%"
"09/19/2024","29.66","29.89","30.35","29.52","22.65M","-0.30%"
"09/18/2024","29.75","30.00","30.14","29.73","25.81M","-0.27%"
"09/17/2024","29.83","30.05","30.14","29.60","27.06M","-0.80%"
