"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2025","33.76","36.00","36.02","32.62","12.41M","-6.12%"
"03/10/2025","35.96","35.20","37.55","35.15","12.54M","0.98%"
"03/07/2025","35.61","34.47","37.91","33.93","17.34M","3.82%"
"03/06/2025","34.30","34.09","35.25","33.21","11.33M","-2.58%"
"03/05/2025","35.21","32.50","35.39","30.91","21.84M","15.94%"
"03/04/2025","30.37","29.77","31.14","29.35","8.06M","0.33%"
"03/03/2025","30.27","31.18","32.00","30.16","6.74M","-2.23%"
"02/28/2025","30.96","30.77","31.31","30.20","8.75M","-0.42%"
"02/27/2025","31.09","32.56","33.00","31.00","9.87M","-7.42%"
"02/26/2025","33.58","33.26","34.17","32.71","6.70M","0.90%"
"02/25/2025","33.28","33.98","35.48","32.93","11.40M","-1.83%"
"02/24/2025","33.90","33.88","34.56","33.28","8.89M","-4.59%"
"02/21/2025","35.53","33.89","35.97","33.18","21.45M","5.34%"
"02/20/2025","33.73","36.23","36.30","32.78","11.42M","-6.04%"
"02/19/2025","35.90","35.11","36.75","35.05","10.04M","0.42%"
"02/18/2025","35.75","33.05","36.98","32.04","18.97M","8.37%"
"02/14/2025","32.99","30.53","33.91","29.25","25.33M","3.35%"
"02/13/2025","31.92","31.00","31.96","30.27","14.72M","4.54%"
"02/12/2025","30.53","30.97","31.08","30.24","8.36M","-1.28%"
"02/11/2025","30.93","31.52","32.42","30.70","10.09M","-2.95%"
"02/10/2025","31.87","33.00","33.39","31.66","10.92M","-2.24%"
"02/07/2025","32.60","33.51","33.77","32.46","9.65M","-3.01%"
"02/06/2025","33.61","35.20","35.24","33.61","8.98M","-3.92%"
"02/05/2025","34.98","34.32","35.57","33.90","9.39M","2.37%"
"02/04/2025","34.17","36.65","37.92","33.84","22.90M","-6.51%"
"02/03/2025","36.55","38.21","38.65","35.93","13.51M","-7.28%"
"01/31/2025","39.42","41.19","41.46","39.31","6.54M","-3.95%"
"01/30/2025","41.04","41.40","42.54","39.88","12.26M","0.79%"
"01/29/2025","40.72","43.28","44.74","40.67","14.60M","-9.39%"
"01/28/2025","44.94","41.99","45.15","40.75","13.29M","7.90%"
"01/27/2025","41.65","40.87","44.08","40.71","12.16M","0.58%"
"01/24/2025","41.41","43.18","45.40","40.78","17.25M","-2.31%"
"01/23/2025","42.39","38.40","42.54","36.99","13.68M","10.10%"
"01/22/2025","38.50","36.35","41.09","36.00","16.69M","7.27%"
"01/21/2025","35.89","35.76","37.90","35.30","12.83M","5.37%"
"01/17/2025","34.06","33.84","34.79","33.60","8.13M","0.89%"
"01/16/2025","33.76","34.75","34.95","33.34","7.34M","-2.90%"
"01/15/2025","34.77","35.18","35.54","34.46","7.46M","0.90%"
"01/14/2025","34.46","35.15","35.68","33.18","14.43M","-1.96%"
"01/13/2025","35.15","33.30","35.38","31.94","33.49M","-16.80%"
"01/10/2025","42.25","42.76","43.70","41.78","6.41M","-2.13%"
"01/08/2025","43.17","47.60","47.70","43.01","13.35M","-9.17%"
"01/07/2025","47.53","43.90","48.92","42.86","22.59M","11.65%"
"01/06/2025","42.57","44.00","44.52","41.63","8.58M","0.92%"
"01/03/2025","42.18","42.25","42.62","41.08","5.56M","0.43%"
"01/02/2025","42.00","42.20","43.30","41.41","5.31M","1.01%"
"12/31/2024","41.58","39.71","41.79","39.39","7.57M","5.59%"
"12/30/2024","39.38","39.74","40.50","38.88","5.51M","-1.87%"
"12/27/2024","40.13","40.35","41.49","39.79","4.83M","-0.74%"
"12/26/2024","40.43","39.56","40.55","39.24","4.24M","0.40%"
"12/24/2024","40.27","39.59","40.35","38.75","2.52M","1.72%"
"12/23/2024","39.59","39.19","40.34","38.52","5.11M","0.51%"
"12/20/2024","39.39","39.20","40.83","39.12","35.48M","-0.43%"
"12/19/2024","39.56","38.56","39.87","37.44","7.50M","3.13%"
"12/18/2024","38.36","40.05","41.72","38.20","8.57M","-5.89%"
"12/17/2024","40.76","41.85","43.17","40.63","6.27M","-2.58%"
"12/16/2024","41.84","42.16","44.38","41.28","8.04M","0.02%"
"12/13/2024","41.83","42.24","42.69","41.38","4.86M","-2.31%"
"12/12/2024","42.82","42.55","43.80","41.70","5.24M","-0.09%"
"12/11/2024","42.86","41.90","43.25","41.06","5.62M","3.25%"
"12/10/2024","41.51","45.36","45.49","41.06","10.48M","-9.07%"
"12/09/2024","45.65","44.77","47.41","44.10","7.29M","2.72%"
"12/06/2024","44.44","43.52","46.62","43.16","8.74M","3.49%"
"12/05/2024","42.94","41.90","44.45","41.74","8.08M","3.15%"
"12/04/2024","41.63","42.76","42.80","41.48","5.01M","-2.23%"
"12/03/2024","42.58","43.98","44.25","42.36","7.19M","-3.80%"
"12/02/2024","44.26","43.33","44.66","42.07","6.83M","2.79%"
"11/29/2024","43.06","43.25","43.85","42.30","3.59M","-0.76%"
"11/27/2024","43.39","42.49","43.46","42.08","5.08M","3.19%"
"11/26/2024","42.05","43.13","43.30","41.47","7.25M","-3.69%"
"11/25/2024","43.66","43.00","46.30","42.83","15.82M","6.20%"
"11/22/2024","41.11","38.44","42.40","37.76","13.41M","7.48%"
"11/21/2024","38.25","36.55","38.82","35.96","8.96M","3.55%"
"11/20/2024","36.94","37.29","38.22","36.41","7.34M","-0.94%"
"11/19/2024","37.29","38.90","39.28","37.01","9.15M","-5.62%"
"11/18/2024","39.51","38.31","39.76","37.10","13.88M","7.22%"
"11/15/2024","36.85","38.55","38.70","35.80","24.36M","-7.34%"
"11/14/2024","39.77","42.05","42.06","38.76","12.89M","-5.62%"
"11/13/2024","42.14","43.25","43.28","41.71","7.73M","-3.06%"
"11/12/2024","43.47","42.19","44.11","41.54","10.71M","1.68%"
"11/11/2024","42.75","46.83","46.88","42.25","15.92M","-8.71%"
"11/08/2024","46.83","50.42","50.90","46.57","13.56M","-6.86%"
"11/07/2024","50.28","56.60","56.69","49.94","18.21M","-2.95%"
"11/06/2024","51.81","52.61","52.85","49.60","10.68M","-2.78%"
"11/05/2024","53.29","53.53","54.32","52.08","5.77M","-0.47%"
"11/04/2024","53.54","54.60","55.65","53.41","4.04M","-2.00%"
"11/01/2024","54.63","54.49","55.35","53.89","4.79M","0.50%"
"10/31/2024","54.36","54.35","54.58","52.92","4.51M","-0.66%"
"10/30/2024","54.72","54.37","55.03","53.50","4.28M","-0.91%"
"10/29/2024","55.22","55.21","57.69","54.88","5.59M","0.77%"
"10/28/2024","54.80","53.31","55.77","53.10","5.01M","3.22%"
"10/25/2024","53.09","53.01","54.51","52.80","3.70M","0.55%"
"10/24/2024","52.80","53.39","53.84","52.26","3.77M","-1.11%"
"10/23/2024","53.39","53.22","54.74","52.77","4.29M","-0.02%"
"10/22/2024","53.40","53.67","54.79","52.81","3.56M","-0.74%"
"10/21/2024","53.80","53.82","54.76","53.05","4.09M","-0.55%"
"10/18/2024","54.10","54.53","55.10","53.55","6.75M","-1.31%"
"10/17/2024","54.82","57.08","57.15","54.82","5.42M","-4.59%"
"10/16/2024","57.46","57.82","58.45","57.12","3.26M","0.26%"
"10/15/2024","57.31","57.64","58.62","57.12","4.09M","-0.73%"
"10/14/2024","57.73","57.90","58.96","57.05","3.36M","-0.96%"
"10/11/2024","58.29","56.71","59.73","55.70","6.26M","2.57%"
"10/10/2024","56.83","58.41","58.70","56.64","4.41M","-3.45%"
"10/09/2024","58.86","58.33","59.52","57.90","2.97M","0.80%"
"10/08/2024","58.39","58.53","58.67","57.75","3.83M","-0.56%"
"10/07/2024","58.72","60.20","60.65","58.33","5.02M","-2.46%"
"10/04/2024","60.20","61.51","62.11","59.62","6.22M","-1.42%"
"10/03/2024","61.07","62.53","62.97","61.03","4.71M","-3.31%"
"10/02/2024","63.16","63.52","63.69","62.58","4.11M","-1.20%"
"10/01/2024","63.93","67.13","67.55","63.41","4.64M","-4.34%"
"09/30/2024","66.83","65.69","67.96","65.31","4.81M","1.64%"
"09/27/2024","65.75","64.85","66.88","64.25","4.74M","2.85%"
"09/26/2024","63.93","64.80","65.07","63.37","4.47M","0.46%"
"09/25/2024","63.64","63.95","64.86","63.51","4.52M","-0.47%"
"09/24/2024","63.94","64.80","65.25","63.88","5.17M","-0.31%"
"09/23/2024","64.14","66.05","66.05","64.10","5.92M","-2.36%"
"09/20/2024","65.69","67.60","67.91","64.70","12.42M","-3.43%"
"09/19/2024","68.02","71.85","71.97","67.91","5.07M","-2.63%"
"09/18/2024","69.86","72.19","73.35","69.82","4.28M","-2.96%"
"09/17/2024","71.99","70.11","75.37","69.79","7.18M","4.08%"
"09/16/2024","69.17","68.12","70.60","67.81","4.88M","1.30%"
"09/13/2024","68.28","66.17","68.58","65.55","11.97M","-2.01%"
"09/12/2024","69.68","67.89","70.85","64.11","23.99M","-12.36%"
"09/11/2024","79.51","79.05","79.88","77.44","3.37M","0.29%"
"09/10/2024","79.28","76.12","79.96","75.95","3.66M","3.49%"
"09/09/2024","76.61","73.48","78.80","73.26","5.32M","5.10%"
"09/06/2024","72.89","73.44","73.60","71.65","3.43M","-0.75%"
"09/05/2024","73.44","72.78","73.60","71.51","2.54M","1.31%"
"09/04/2024","72.49","72.40","74.43","71.62","4.23M","-0.62%"
"09/03/2024","72.94","77.55","77.75","72.54","5.18M","-5.76%"
"08/30/2024","77.40","78.48","78.52","76.06","3.59M","-0.24%"
"08/29/2024","77.59","78.78","79.60","77.46","3.31M","-0.98%"
"08/28/2024","78.36","79.95","80.56","78.20","3.02M","-0.79%"
"08/27/2024","78.98","81.59","81.61","78.40","3.64M","-3.28%"
"08/26/2024","81.66","82.63","83.67","81.25","2.30M","-0.95%"
"08/23/2024","82.44","82.35","84.28","81.25","4.23M","1.73%"
"08/22/2024","81.04","86.16","86.80","80.76","5.35M","-6.47%"
"08/21/2024","86.65","87.73","88.59","85.88","3.15M","-0.33%"
"08/20/2024","86.94","89.24","89.80","86.91","2.71M","-3.36%"
"08/19/2024","89.96","87.02","91.99","86.62","4.14M","3.59%"
"08/16/2024","86.84","88.00","88.78","86.24","3.40M","0.25%"
"08/15/2024","86.62","83.65","87.88","83.56","3.97M","5.31%"
"08/14/2024","82.25","82.75","83.52","81.35","2.64M","-0.78%"
"08/13/2024","82.90","81.43","83.04","80.58","2.93M","1.98%"
"08/12/2024","81.29","85.00","85.00","80.78","3.07M","-4.29%"
"08/09/2024","84.93","84.39","85.20","82.59","2.39M","0.72%"
"08/08/2024","84.32","82.50","85.40","82.07","3.54M","3.40%"
"08/07/2024","81.55","84.08","85.75","80.34","4.32M","-0.91%"
"08/06/2024","82.30","84.92","85.57","80.17","5.19M","-1.73%"
"08/05/2024","83.75","80.37","85.86","78.07","8.06M","-3.27%"
"08/02/2024","86.58","91.17","91.68","84.43","10.33M","-8.06%"
"08/01/2024","94.17","99.58","102.90","93.60","18.59M","-21.01%"
"07/31/2024","119.22","120.53","122.45","118.10","3.12M","0.32%"
"07/30/2024","118.84","123.57","125.68","118.50","2.67M","-2.73%"
"07/29/2024","122.17","122.55","122.85","119.76","2.09M","0.05%"
"07/26/2024","122.11","121.83","122.34","119.43","1.89M","1.42%"
"07/25/2024","120.40","117.78","122.40","116.58","2.64M","1.87%"
"07/24/2024","118.19","119.81","120.04","115.47","3.30M","-2.52%"
"07/23/2024","121.25","121.84","123.50","120.22","1.75M","-1.02%"
"07/22/2024","122.50","122.52","124.06","120.44","1.81M","1.12%"
"07/19/2024","121.14","121.01","121.98","118.80","2.21M","-0.15%"
"07/18/2024","121.32","124.10","126.42","121.00","2.02M","-2.20%"
"07/17/2024","124.06","123.12","125.32","120.11","2.85M","-0.87%"
"07/16/2024","125.14","122.76","127.20","120.79","3.01M","3.01%"
"07/15/2024","121.48","121.10","121.94","116.00","2.68M","0.02%"
"07/12/2024","121.46","123.68","129.39","121.01","4.53M","-1.11%"
"07/11/2024","122.82","120.03","124.19","119.39","4.16M","4.58%"
"07/10/2024","117.44","116.10","120.38","115.29","2.82M","1.18%"
"07/09/2024","116.07","116.71","118.84","115.40","2.51M","-0.33%"
"07/08/2024","116.45","118.41","119.30","115.56","2.20M","-1.58%"
"07/05/2024","118.32","117.30","118.88","115.70","3.07M","2.04%"
"07/03/2024","115.95","118.74","119.39","115.30","1.85M","-0.96%"
"07/02/2024","117.07","117.34","119.14","114.02","3.43M","0.97%"
"07/01/2024","115.95","117.05","123.74","115.14","3.72M","-2.36%"
"06/28/2024","118.75","122.59","123.25","118.03","3.98M","-2.01%"
"06/27/2024","121.18","121.90","122.28","118.52","4.80M","-1.04%"
"06/26/2024","122.45","135.17","135.37","122.12","7.72M","-11.01%"
"06/25/2024","137.60","136.00","138.07","134.73","3.39M","0.44%"
"06/24/2024","137.00","134.57","137.57","133.17","3.44M","2.70%"
"06/21/2024","133.40","136.00","136.36","132.16","5.23M","-0.74%"
"06/20/2024","134.40","132.54","136.70","130.50","3.55M","0.85%"
"06/18/2024","133.27","136.58","137.27","131.52","3.97M","-3.36%"
"06/17/2024","137.90","138.16","139.92","135.27","3.38M","-1.52%"
"06/14/2024","140.03","142.67","145.74","138.17","3.60M","-3.58%"
"06/13/2024","145.23","147.00","148.84","144.87","1.82M","-1.69%"
"06/12/2024","147.72","150.00","150.74","142.27","3.49M","-0.45%"
"06/11/2024","148.39","148.30","150.65","146.95","1.92M","-0.13%"
"06/10/2024","148.59","151.50","152.28","143.77","5.97M","-1.60%"
"06/07/2024","151.01","152.79","153.56","149.13","2.52M","-2.38%"
