"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2025","111.43","111.35","114.45","110.66","236.90M","-2.05%"
"03/26/2025","113.76","118.73","118.84","112.71","296.43M","-5.74%"
"03/25/2025","120.69","120.54","121.29","118.92","167.45M","-0.59%"
"03/24/2025","121.41","119.88","122.22","119.34","228.45M","3.15%"
"03/21/2025","117.70","116.94","117.99","115.42","266.50M","-0.70%"
"03/20/2025","118.53","116.55","120.20","116.47","248.83M","0.86%"
"03/19/2025","117.52","117.27","120.44","115.68","273.43M","1.81%"
"03/18/2025","115.43","118.00","119.02","114.54","299.69M","-3.43%"
"03/17/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"03/14/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"03/13/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"03/12/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"03/11/2025","108.76","106.99","112.24","104.77","354.87M","1.66%"
"03/10/2025","106.98","109.90","111.85","105.46","366.49M","-5.07%"
"03/07/2025","112.69","111.25","113.48","107.56","341.76M","1.92%"
"03/06/2025","110.57","113.53","115.35","110.22","321.18M","-5.74%"
"03/05/2025","117.30","117.58","118.28","114.51","284.34M","1.13%"
"03/04/2025","115.99","110.64","119.31","110.11","398.16M","1.69%"
"03/03/2025","114.06","123.51","123.70","112.28","411.38M","-8.69%"
"02/28/2025","124.92","118.02","125.09","116.40","389.09M","3.97%"
"02/27/2025","120.15","135.00","135.01","120.01","443.18M","-8.48%"
"02/26/2025","131.28","129.99","133.73","128.49","322.55M","3.67%"
"02/25/2025","126.63","129.98","130.20","124.44","271.43M","-2.80%"
"02/24/2025","130.28","136.56","138.59","130.08","251.38M","-3.09%"
"02/21/2025","134.43","140.04","141.46","134.03","228.22M","-4.05%"
"02/20/2025","140.11","140.03","140.66","136.79","143.90M","0.63%"
"02/19/2025","139.23","139.51","141.36","137.22","167.54M","-0.12%"
"02/18/2025","139.40","141.27","143.44","137.93","219.18M","0.40%"
"02/14/2025","138.85","136.48","139.25","135.50","195.48M","2.63%"
"02/13/2025","135.29","131.55","136.50","131.17","197.43M","3.16%"
"02/12/2025","131.14","130.02","132.24","129.08","160.28M","-1.25%"
"02/11/2025","132.80","132.58","134.48","131.02","178.90M","-0.58%"
"02/10/2025","133.57","130.09","135.00","129.96","216.99M","2.87%"
"02/07/2025","129.84","129.22","130.37","125.00","228.19M","0.90%"
"02/06/2025","128.68","127.42","128.77","125.21","251.48M","3.08%"
"02/05/2025","124.83","121.76","125.00","120.76","263.11M","5.21%"
"02/04/2025","118.65","116.96","121.20","116.70","256.55M","1.71%"
"02/03/2025","116.66","114.75","118.57","113.01","371.24M","-2.84%"
"01/31/2025","120.07","123.78","127.85","119.19","390.37M","-3.67%"
"01/30/2025","124.65","123.10","125.00","118.10","392.93M","0.77%"
"01/29/2025","123.70","126.50","126.89","120.05","467.12M","-4.10%"
"01/28/2025","128.99","121.81","129.00","116.25","579.67M","8.93%"
"01/27/2025","118.42","124.80","128.40","116.70","818.83M","-16.97%"
"01/24/2025","142.62","148.37","148.97","141.88","234.66M","-3.12%"
"01/23/2025","147.22","145.05","147.23","143.72","155.92M","0.10%"
"01/22/2025","147.07","144.66","147.79","143.67","237.65M","4.43%"
"01/21/2025","140.83","139.16","141.83","137.09","197.75M","2.27%"
"01/17/2025","137.71","136.69","138.50","135.46","201.19M","3.10%"
"01/16/2025","133.57","138.64","138.75","133.49","209.24M","-1.96%"
"01/15/2025","136.24","133.65","136.45","131.29","185.22M","3.40%"
"01/14/2025","131.76","136.05","136.38","130.05","195.59M","-1.10%"
"01/13/2025","133.23","129.99","133.49","129.51","204.81M","-1.97%"
"01/10/2025","135.91","137.45","139.92","134.22","207.60M","-3.00%"
"01/08/2025","140.11","142.58","143.95","137.56","227.35M","-0.02%"
"01/07/2025","140.14","153.03","153.13","140.01","351.78M","-6.22%"
"01/06/2025","149.43","148.59","152.16","147.82","265.38M","3.43%"
"01/03/2025","144.47","140.01","144.90","139.73","229.32M","4.45%"
"01/02/2025","138.31","136.00","138.88","134.63","198.25M","2.99%"
"12/31/2024","134.29","138.03","138.07","133.83","155.66M","-2.33%"
